tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd,rain_mm,runoff_mm,ponded_mm,soil_water_mm,drainage_mm,outflow_mm
28,300,20,12,0.2130,0.0199,158.4133,125.6541,336.2633,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0058,4.0005,0.0241,70.0124,0.3353,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,3.0573,0.2991,0.0000,84.1002,0.0000,0.1500
29,302,20,12,0.2167,0.0199,158.3518,125.5722,343.7319,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0065,3.9997,0.0259,70.0246,0.3663,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,84.0676,0.0000,0.0000
30,302,20,12,0.2209,0.0199,156.5344,125.4872,350.2550,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0065,3.9997,0.0259,70.0246,0.3663,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,83.0870,0.0158,0.0000
31,302,20,12,0.2250,0.0199,156.4686,125.3993,360.5317,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0065,3.9997,0.0259,70.0246,0.3663,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,83.0520,0.0000,0.0000
32,302,20,12,0.2290,0.0198,156.4109,125.3224,369.4895,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0065,3.9997,0.0259,70.0246,0.3663,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,83.0214,0.0000,0.0000
33,302,20,12,0.2330,0.0198,156.3589,125.2531,377.5763,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0065,3.9997,0.0259,70.0246,0.3663,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,82.9938,0.0000,0.0000
34,303,20,12,0.2365,0.0198,156.3075,125.1846,385.5974,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0067,3.9994,0.0264,70.0220,0.3685,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,82.9665,0.0000,0.0000
35,303,20,12,0.2399,0.0198,156.2575,125.1179,393.3178,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0067,3.9994,0.0264,70.0220,0.3685,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,82.9400,0.0000,0.0000
36,302,20,12,0.2434,0.0198,156.1991,125.0401,432.4218,11.9912,0,0,2,0,0,0,0,0,0,0,0,0,0,0.9997,0.0070,3.9998,0.0276,70.0220,0.3691,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,82.9090,0.0000,0.0000
37,301,20,12,0.2469,0.0198,156.1476,124.9714,455.4478,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9997,0.0070,3.9998,0.0276,70.0221,0.3698,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,82.8817,0.0000,0.0000
