climate.rain_amp,hunter.kill_prob,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
3,0.4,1,true,22,21.000000,true,57,0.821875,true,16725,10.150000,true,214.347900390625,0.025691,true,0.8812000155448914,0.072421,true,486,26.000000,true,422,11.057143,true,39,18.500000,,,,14,,0
3,0.4,2,true,20,19.000000,true,612,0.830471,true,16885,10.256667,true,216.11830139160156,0.017644,true,0.8780999779701233,0.075684,true,508,27.222222,true,399,10.400000,true,34,16.000000,,,,12,,0
3,0.4,3,false,0,-1.000000,true,70,0.787879,true,3552,1.368000,false,225.2263946533203,-0.023756,true,0.8805000185966492,0.073158,true,474,25.333333,true,361,9.314286,true,38,2.800000,10581,grazers,eaten,2,11875,0
3,0.5,1,true,24,23.000000,true,62,0.812121,true,14636,8.757333,true,215.93829345703125,0.018462,true,0.8815000057220459,0.072105,true,508,27.222222,true,424,11.114286,true,38,18.000000,,,,13,,0
3,0.5,2,true,26,25.000000,true,603,0.826724,true,16240,9.826667,true,217.14230346679688,0.012990,true,0.8808000087738037,0.072842,true,467,24.944444,true,395,10.285714,true,42,20.000000,,,,10,,0
3,0.5,3,false,0,-1.000000,true,75,0.765625,true,2052,0.368000,false,224.7353973388672,-0.021525,true,0.8805999755859375,0.073053,true,479,25.611111,true,340,8.714286,false,0,-1.000000,9700,grazers,eaten,2,11027,0
4,0.1,1,true,7,6.000000,true,575,0.842896,true,16954,10.302667,true,212.86329650878906,0.032440,true,0.8816999793052673,0.071895,true,396,21.000000,true,110,2.142857,true,24,11.000000,,,,14,,0
4,0.1,2,true,3,2.000000,true,539,0.839104,true,17146,10.430667,true,212.11199951171875,0.035855,true,0.8792999982833862,0.074421,true,377,19.944444,true,149,3.257143,true,21,9.500000,,,,15,,0
4,0.1,3,true,5,4.000000,true,525,0.827869,true,17053,10.368667,true,213.27490234375,0.030569,true,0.8815000057220459,0.072105,true,340,17.888889,true,83,1.371429,true,18,8.000000,,,,12,,0
4,0.2,1,true,19,18.000000,true,568,0.843956,true,15548,9.365333,true,207.6510009765625,0.056132,true,0.8797000050544739,0.074000,true,407,21.611111,true,127,2.628571,true,28,13.000000,,,,13,,0
4,0.2,2,true,14,13.000000,true,50,0.848485,true,17184,10.456000,true,211.47970581054688,0.038729,true,0.8806999921798706,0.072947,true,317,16.611111,true,86,1.457143,true,31,14.500000,,,,10,,0
4,0.2,3,true,25,24.000000,true,61,0.815152,true,16241,9.827333,true,208.0366973876953,0.054379,true,0.8827000260353088,0.070842,true,387,20.500000,true,87,1.485714,true,37,17.500000,,,,13,,0
4,0.3,1,true,23,22.000000,true,60,0.812500,true,17370,10.580000,true,210.54119873046875,0.042995,true,0.8798999786376953,0.073789,true,342,18.000000,true,109,2.114286,true,30,14.000000,,,,10,,0
4,0.3,2,true,25,24.000000,true,53,0.834375,true,17274,10.516000,true,212.2344970703125,0.035298,true,0.8799999952316284,0.073684,true,371,19.611111,true,108,2.085714,true,27,12.500000,,,,11,,0
4,0.3,3,true,33,32.000000,true,65,0.803030,true,14520,8.680000,true,208.4582977294922,0.052462,true,0.8774999976158142,0.076316,true,347,18.277778,true,91,1.600000,true,44,21.000000,,,,9,,0
4,0.4,1,true,22,21.000000,true,55,0.833333,true,17178,10.452000,true,213.0084991455078,0.031780,true,0.8787999749183655,0.074947,true,365,19.277778,true,103,1.942857,true,35,16.500000,,,,11,,0
4,0.4,2,true,30,29.000000,true,64,0.817143,true,16564,10.042667,true,211.5384979248047,0.038461,true,0.8755999803543091,0.078316,true,354,18.666667,true,108,2.085714,true,33,15.500000,,,,9,,0
4,0.4,3,false,0,-1.000000,true,73,0.778788,true,5779,2.852667,false,223.06570434570313,-0.013935,true,0.8795999884605408,0.074105,true,357,18.833333,true,98,1.800000,false,2,-0.800000,10036,grazers,eaten,4,11272,0
4,0.5,1,true,29,28.000000,true,66,0.800000,true,14689,8.792667,true,212.3563995361328,0.034744,true,0.8815000057220459,0.072105,true,328,17.222222,true,119,2.400000,true,44,21.000000,,,,11,,0
4,0.5,2,true,34,33.000000,true,68,0.805714,true,17585,10.723333,true,213.6363067626953,0.028926,true,0.8808000087738037,0.072842,true,259,13.388889,true,75,1.142857,true,45,21.500000,,,,12,,0
4,0.5,3,true,33,32.000000,true,74,0.775758,true,15014,9.009333,true,216.0782012939453,0.017826,true,0.8791000247001648,0.074632,true,370,19.555556,true,105,2.000000,true,56,27.000000,,,,12,,0
5,0.1,1,true,14,13.000000,true,265,0.651316,true,17471,10.647333,true,197.17840576171875,0.103735,true,0.8809000253677368,0.072737,true,140,6.777778,true,37,0.057143,true,31,14.500000,,,,12,,0
5,0.1,2,true,4,3.000000,true,222,0.471429,true,17231,10.487333,true,202.33799743652344,0.080282,true,0.8833000063896179,0.070211,true,139,6.722222,false,27,-0.228571,true,23,10.500000,,,,15,,0
5,0.1,3,true,17,16.000000,true,138,0.818421,true,16748,10.165333,true,200.9658966064453,0.086519,true,0.8817999958992004,0.071789,true,111,5.166667,false,17,-0.514286,true,22,10.000000,,,,14,,0
5,0.2,1,true,14,13.000000,true,278,0.684091,true,16243,9.828667,true,198.67410278320313,0.096936,true,0.8815000057220459,0.072105,true,139,6.722222,true,47,0.342857,true,44,21.000000,,,,12,,0
5,0.2,2,true,4,3.000000,true,343,0.020000,true,16846,10.230667,true,198.46730041503906,0.097876,true,0.8895000219345093,0.063684,true,108,5.000000,false,18,-0.485714,true,48,23.000000,,,,11,,0
5,0.2,3,true,15,14.000000,true,291,0.749138,true,16726,10.150667,true,198.9416046142578,0.095720,true,0.8834999799728394,0.070000,true,131,6.277778,false,17,-0.514286,true,43,20.500000,,,,10,,0
5,0.3,1,true,17,16.000000,true,242,0.701235,true,17657,10.771333,true,205.9241943359375,0.063981,true,0.8787999749183655,0.074947,true,149,7.277778,true,36,0.028571,true,54,26.000000,,,,11,,0
5,0.3,2,true,2,1.000000,true,196,0.246154,true,16940,10.293333,true,206.0272979736328,0.063512,true,0.8865000009536743,0.066842,true,132,6.333333,false,23,-0.342857,true,63,30.500000,,,,12,,0
5,0.3,3,true,16,15.000000,true,78,0.763636,true,14970,8.980000,true,204.898193359375,0.068645,true,0.8810999989509583,0.072526,true,108,5.000000,false,20,-0.428571,true,55,26.500000,,,,10,,0
5,0.4,1,false,0,-1.000000,true,270,0.619718,true,8043,4.362000,true,211.9385986328125,0.036643,true,0.8783000111579895,0.075474,true,127,6.055556,true,36,0.028571,true,271,26.100000,12760,grazers,eaten,5,14031,0
5,0.4,2,false,0,-1.000000,true,301,0.550746,true,1518,0.012000,true,213.3643035888672,0.030162,true,0.8848999738693237,0.068526,true,152,7.444444,false,27,-0.228571,false,0,-1.000000,9739,grazers,eaten,2,10990,0
5,0.4,3,false,0,-1.000000,true,80,0.757576,true,2451,0.634000,true,217.3406982421875,0.012088,true,0.8917999863624573,0.061263,true,76,3.222222,false,12,-0.657143,false,0,-1.000000,8795,grazers,eaten,2,10110,0
5,0.5,1,false,0,-1.000000,true,303,0.533846,true,2496,0.664000,true,214.9687957763672,0.022869,true,0.878600001335144,0.075158,true,148,7.222222,false,34,-0.028571,false,0,-1.000000,8259,grazers,eaten,3,9418,0
5,0.5,2,false,0,-1.000000,true,168,0.569231,true,5925,2.950000,true,217.1298065185547,0.013046,true,0.8995000123977661,0.053158,true,97,4.388889,false,6,-0.828571,true,182,17.200000,10859,grazers,eaten,5,12071,0
5,0.5,3,false,0,-1.000000,true,250,0.695122,true,3087,1.058000,true,211.55499267578125,0.038386,true,0.8896999955177307,0.063474,true,115,5.388889,false,31,-0.114286,false,0,-1.000000,7815,grazers,eaten,2,9049,0
6,0.1,1,true,4,3.000000,true,164,0.701818,true,17791,10.860667,true,171.5509033203125,0.220223,true,0.883400022983551,0.070105,true,112,5.222222,false,25,-0.285714,true,36,17.000000,,,,13,,0
6,0.1,2,true,2,1.000000,true,31,0.761538,true,17381,10.587333,true,175.0395050048828,0.204366,true,0.8878999948501587,0.065368,false,8,-0.555556,false,3,-0.914286,true,25,11.500000,,,,12,,0
6,0.1,3,true,9,8.000000,true,85,0.853448,true,16317,9.878000,true,171.88589477539063,0.218700,true,0.8791000247001648,0.074632,true,43,1.388889,false,8,-0.771429,true,36,17.000000,,,,14,,0
6,0.2,1,true,7,6.000000,true,199,0.684127,true,16150,9.766667,true,177.66830444335938,0.192417,true,0.8787000179290771,0.075053,true,118,5.555556,false,20,-0.428571,true,54,26.000000,,,,10,,0
6,0.2,2,false,0,-1.000000,true,0,0.000000,true,16883,10.255333,true,178.8751983642578,0.186931,true,0.8955000042915344,0.057368,false,0,-1.000000,false,0,-1.000000,true,58,28.000000,1550,trees,unrecorded,15,,0
6,0.2,3,true,7,6.000000,true,67,0.796970,true,17776,10.850667,true,175.81149291992188,0.200857,true,0.8858000040054321,0.067579,true,40,1.222222,false,11,-0.685714,true,51,24.500000,,,,13,,0
6,0.3,1,true,4,3.000000,true,176,0.580952,true,16809,10.206000,true,177.85960388183594,0.191547,true,0.8831999897956848,0.070316,true,100,4.555556,false,22,-0.371429,true,47,22.500000,,,,12,,0
6,0.3,2,false,0,-1.000000,true,0,0.000000,true,13541,8.027333,true,187.80490112304688,0.146341,true,0.9039000272750854,0.048526,false,0,-1.000000,false,0,-1.000000,true,60,29.000000,1600,trees,unrecorded,10,,0
6,0.3,3,false,0,-1.000000,true,78,0.756250,true,3809,1.539333,true,186.79449462890625,0.150934,true,0.8899999856948853,0.063158,true,55,2.055556,false,13,-0.628571,false,0,-1.000000,9461,grazers,eaten,2,10743,0
6,0.4,1,false,0,-1.000000,true,167,0.644681,true,5872,2.914667,true,189.19129943847656,0.140040,true,0.8792999982833862,0.074421,true,111,5.166667,false,27,-0.228571,true,68,5.800000,10798,grazers,eaten,3,12001,0
6,0.4,2,false,0,-1.000000,true,119,0.639394,false,0,-1.000000,true,187.3907012939453,0.148224,true,0.8913999795913696,0.061684,true,85,3.722222,false,12,-0.657143,false,0,-1.000000,9967,grazers,eaten,1,11190,0
6,0.4,3,false,0,-1.000000,true,79,0.760606,true,2344,0.562667,true,186.0998992919922,0.154091,true,0.89410001039505,0.058842,true,41,1.277778,false,7,-0.800000,false,0,-1.000000,8902,grazers,eaten,3,10146,0
6,0.5,1,false,0,-1.000000,true,175,0.627660,true,9616,5.410667,true,187.91189575195313,0.145855,true,0.8812000155448914,0.072421,true,113,5.277778,false,18,-0.485714,true,285,27.500000,15445,grazers,eaten,7,16787,0
6,0.5,2,false,0,-1.000000,true,31,0.690000,false,1425,-0.050000,true,191.32069396972656,0.130360,true,0.9057000279426575,0.046632,false,14,-0.222222,false,3,-0.914286,false,0,-1.000000,7024,grazers,eaten,2,8292,0
6,0.5,3,false,0,-1.000000,true,90,0.718750,true,4697,2.131333,true,186.21749877929688,0.153557,true,0.8902999758720398,0.062842,true,45,1.500000,false,13,-0.628571,false,0,-1.000000,8404,grazers,eaten,3,9659,0
7,0.1,1,true,2,1.000000,true,137,0.429167,true,15660,9.440000,true,162.11570739746094,0.263110,true,0.8896999955177307,0.063474,true,99,4.500000,false,8,-0.771429,true,31,14.500000,,,,13,,0
7,0.1,2,true,1,0.000000,true,22,0.725000,true,17317,10.544667,true,163.6479949951172,0.256145,true,0.8898000121116638,0.063368,false,9,-0.500000,false,3,-0.914286,true,29,13.500000,,,,11,,0
7,0.1,3,true,6,5.000000,true,81,0.834694,true,16334,9.889333,true,161.09469604492188,0.267751,true,0.883899986743927,0.069579,true,63,2.500000,false,8,-0.771429,true,35,16.500000,,,,16,,0
7,0.2,1,true,6,5.000000,true,147,0.641463,true,16883,10.255333,true,165.9949951171875,0.245477,true,0.8835999965667725,0.069895,true,89,3.944444,false,14,-0.600000,true,46,22.000000,,,,11,,0
7,0.2,2,false,0,-1.000000,true,0,0.000000,true,15681,9.454000,true,167.78790283203125,0.237328,true,0.8967999815940857,0.056000,false,0,-1.000000,false,0,-1.000000,true,56,27.000000,1450,trees,unrecorded,9,,0
7,0.2,3,true,6,5.000000,true,70,0.774194,true,17290,10.526667,true,167.6260986328125,0.238063,true,0.8880000114440918,0.065263,true,37,1.055556,false,4,-0.885714,true,54,26.000000,,,,15,,0
7,0.3,1,true,8,7.000000,true,169,0.687037,true,16426,9.950667,true,170.36700439453125,0.225605,true,0.8831999897956848,0.070316,true,97,4.388889,false,14,-0.600000,true,61,29.500000,,,,13,,0
7,0.3,2,false,0,-1.000000,true,0,0.000000,true,4264,1.842667,true,178.37570190429688,0.189201,true,0.9089000225067139,0.043263,false,0,-1.000000,false,0,-1.000000,false,0,-1.000000,1400,trees,unrecorded,3,10731,0
7,0.3,3,false,0,-1.000000,true,78,0.763636,true,5386,2.590667,true,175.65640258789063,0.201562,true,0.8949000239372253,0.058000,true,55,2.055556,false,12,-0.657143,true,286,27.600000,11912,grazers,eaten,4,13182,0
7,0.4,1,false,0,-1.000000,true,156,0.578378,false,0,-1.000000,true,179.10789489746094,0.185873,true,0.8944000005722046,0.058526,true,94,4.222222,false,19,-0.457143,false,0,-1.000000,7169,grazers,eaten,1,8411,0
7,0.4,2,false,0,-1.000000,true,103,0.570833,true,3063,1.042000,true,177.23500061035156,0.194386,true,0.8896999955177307,0.063474,true,65,2.611111,false,8,-0.771429,false,0,-1.000000,8942,grazers,eaten,3,10039,0
7,0.4,3,false,0,-1.000000,true,85,0.742424,false,0,-1.000000,true,174.6909942626953,0.205950,true,0.8988000154495239,0.053895,false,17,-0.055556,false,6,-0.828571,false,0,-1.000000,7289,grazers,eaten,1,8567,0
7,0.5,1,false,0,-1.000000,true,164,0.487500,true,5192,2.461333,true,178.4949951171875,0.188659,true,0.8883000016212463,0.064947,true,101,4.611111,false,27,-0.228571,false,0,-1.000000,9571,grazers,eaten,2,10848,0
7,0.5,2,false,0,-1.000000,true,0,0.000000,false,0,-1.000000,true,178.0175018310547,0.190830,true,0.9089000225067139,0.043263,false,0,-1.000000,false,0,-1.000000,false,0,-1.000000,1500,trees,unrecorded,1,9893,0
7,0.5,3,false,0,-1.000000,true,89,0.730303,false,828,-0.448000,true,176.87440490722656,0.196025,true,0.8974000215530396,0.055368,true,49,1.722222,false,9,-0.742857,false,0,-1.000000,7080,grazers,eaten,2,8380,0
8,0.1,1,true,3,2.000000,true,127,0.529630,true,17105,10.403333,true,156.4669952392578,0.288786,true,0.8855999708175659,0.067790,true,94,4.222222,false,13,-0.628571,true,31,14.500000,,,,16,,0
8,0.1,2,true,1,0.000000,true,24,0.760000,true,17500,10.666667,true,156.58920288085938,0.288231,true,0.8888999819755554,0.064316,false,4,-0.777778,false,2,-0.942857,true,27,12.500000,,,,14,,0
8,0.1,3,true,3,2.000000,true,58,0.792857,true,17079,10.386000,true,153.1486053466797,0.303870,true,0.8855999708175659,0.067790,true,38,1.111111,false,6,-0.828571,true,31,14.500000,,,,11,,0
