tree.crowding_mortality,disease.grazer_rate,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0.03,0.006,3,true,33,32.000000,true,66,0.800000,true,15985,9.656667,true,213.960693359375,0.027451,true,0.8828999996185303,0.070632,true,348,18.333333,true,99,1.828571,true,48,23.000000,,,,12,,0
0.03,0.008,1,true,20,19.000000,true,565,0.816558,true,17575,10.716667,false,225.13340759277344,-0.023334,true,0.8835999965667725,0.069895,true,360,19.000000,true,99,1.828571,true,35,16.500000,,,,10,,0
0.03,0.008,2,true,25,24.000000,true,558,0.847123,true,14948,8.965333,false,224.5959930419922,-0.020891,true,0.8837000131607056,0.069789,true,360,19.000000,true,117,2.342857,true,28,13.000000,,,,13,,0
0.03,0.008,3,true,30,29.000000,true,67,0.796970,true,16820,10.213333,true,219.57029724121094,0.001953,true,0.8842999935150146,0.069158,true,296,15.444444,true,84,1.400000,true,44,21.000000,,,,10,,0
0.03,0.010,1,true,22,21.000000,true,56,0.835294,true,16906,10.270667,false,220.42300415039063,-0.001923,true,0.8838000297546387,0.069684,true,347,18.277778,true,97,1.771429,true,28,13.000000,,,,13,,0
0.03,0.010,2,true,21,20.000000,true,51,0.854286,true,16241,9.827333,false,221.4813995361328,-0.006734,true,0.8855999708175659,0.067790,true,372,19.666667,true,102,1.914286,true,33,15.500000,,,,11,,0
0.03,0.010,3,true,32,31.000000,true,62,0.812121,true,17000,10.333333,false,221.92799377441406,-0.008764,true,0.8860999941825867,0.067263,true,343,18.055556,true,90,1.571429,true,41,19.500000,,,,10,,0
0.04,0.000,1,true,21,20.000000,true,3184,0.793515,true,14475,8.650000,true,197.61270141601563,0.101760,true,0.8730999827384949,0.080947,true,388,20.555556,true,130,2.714286,true,33,15.500000,,,,9,,0
0.04,0.000,2,true,29,28.000000,true,58,0.834286,true,15941,9.627333,true,199.7888946533203,0.091869,true,0.8676000237464905,0.086737,true,299,15.611111,true,76,1.171429,true,36,17.000000,,,,9,,0
0.04,0.000,3,true,33,32.000000,true,76,0.769697,true,16039,9.692667,true,200.57870483398438,0.088279,true,0.8694999814033508,0.084737,true,365,19.277778,true,116,2.314286,true,47,22.500000,,,,9,,0
0.04,0.002,1,true,25,24.000000,true,59,0.815625,true,17233,10.488667,true,212.8520965576172,0.032490,true,0.8831999897956848,0.070316,true,420,22.333333,true,104,1.971429,true,34,16.000000,,,,12,,0
0.04,0.002,2,true,25,24.000000,true,69,0.797059,true,17892,10.928000,true,216.064697265625,0.017888,true,0.8816999793052673,0.071895,true,355,18.722222,true,96,1.742857,true,36,17.000000,,,,13,,0
0.04,0.002,3,true,31,30.000000,true,69,0.777419,true,14590,8.726667,true,212.72740173339844,0.033057,true,0.882099986076355,0.071474,true,365,19.277778,true,89,1.542857,true,50,24.000000,,,,10,,0
0.04,0.004,1,true,23,22.000000,true,54,0.820000,true,17552,10.701333,true,217.23150634765625,0.012584,true,0.8820000290870667,0.071579,true,455,24.277778,true,126,2.600000,true,25,11.500000,,,,12,,0
0.04,0.004,2,true,21,20.000000,true,56,0.840000,true,15626,9.417333,true,218.2886962890625,0.007779,true,0.8838000297546387,0.069684,true,370,19.555556,true,85,1.428571,true,35,16.500000,,,,12,,0
0.04,0.004,3,false,0,-1.000000,true,73,0.771875,false,0,-1.000000,false,224.6737060546875,-0.021244,true,0.8830000162124634,0.070526,true,329,17.277778,true,85,1.428571,false,0,-1.000000,8088,grazers,eaten,1,9381,0
