tick,kind,species,patch_x,patch_y,x,y,cause,detail
894,birth,grazer,26,12,214,103,,2462
894,birth,grazer,30,4,240,32,,2463
894,birth,grazer,24,14,199,119,,2464
896,birth,grazer,5,27,44,216,,2465
896,birth,grazer,14,24,114,193,,2466
896,birth,grazer,24,11,198,89,,2467
896,birth,grazer,7,19,59,156,,2468
896,birth,grazer,11,18,90,146,,2469
897,birth,grazer,24,20,199,165,,2470
897,birth,grazer,14,4,116,32,,2471
897,birth,grazer,23,16,189,129,,2472
897,birth,grazer,30,18,246,147,,2473
897,birth,grazer,12,4,100,35,,2474
897,birth,grazer,22,14,183,116,,2475
897,birth,grazer,24,21,197,171,,2476
897,birth,grazer,28,18,230,151,,2477
897,birth,grazer,16,5,134,46,,2478
898,birth,grazer,13,11,110,94,,2479
898,birth,grazer,24,2,193,20,,2480
898,birth,grazer,2,10,22,83,,2481
898,birth,grazer,13,22,105,177,,2482
898,birth,grazer,17,6,140,48,,2483
898,birth,grazer,4,5,35,42,,2484
898,birth,grazer,22,6,179,52,,2485
898,birth,grazer,18,6,150,52,,2486
898,birth,grazer,11,13,95,104,,2487
898,death,grazer,23,14,185,115,eaten,1886
899,birth,grazer,12,12,98,98,,2488
899,birth,grazer,11,24,92,199,,2489
899,birth,grazer,6,15,54,120,,2490
900,birth,grazer,5,8,42,68,,2491
900,birth,grazer,7,19,63,155,,2492
900,birth,grazer,20,22,166,176,,2493
900,birth,grazer,25,13,200,110,,2494
900,germination,tree,5,3,46,29,,2495
900,germination,tree,2,3,20,27,,2496
900,germination,tree,19,5,152,46,,2497
900,germination,tree,27,18,220,144,,2498
900,germination,tree,29,21,233,175,,2499
900,germination,tree,24,26,196,214,,2500
900,germination,tree,18,28,146,225,,2501
900,germination,tree,23,31,184,250,,2502
901,birth,grazer,11,28,89,224,,2503
902,birth,grazer,11,22,92,181,,2504
902,birth,grazer,12,21,103,175,,2505
903,birth,grazer,11,22,95,179,,2506
904,birth,grazer,14,10,112,86,,2507
906,birth,grazer,18,23,149,184,,2508
906,birth,grazer,20,17,167,138,,2509
906,birth,grazer,18,21,151,175,,2510
906,birth,grazer,18,19,151,153,,2511
906,birth,grazer,18,17,148,141,,2512
906,birth,grazer,19,17,154,140,,2513
907,birth,grazer,24,10,199,86,,2514
907,birth,grazer,8,22,71,183,,2515
907,birth,grazer,19,19,158,158,,2516
907,death,grazer,21,17,172,138,eaten,1908
908,birth,grazer,20,19,166,153,,2517
909,birth,grazer,24,2,196,21,,2518
909,birth,grazer,13,27,104,216,,2519
910,birth,grazer,13,24,106,192,,2520
910,birth,grazer,10,28,81,229,,2521
911,birth,grazer,21,6,175,50,,2522
911,birth,grazer,19,20,153,167,,2523
912,birth,grazer,3,18,31,148,,2524
912,birth,grazer,4,1,33,15,,2525
912,birth,grazer,3,20,28,164,,2526
913,birth,grazer,24,7,193,62,,2527
913,birth,grazer,23,8,184,70,,2528
914,birth,grazer,20,8,167,64,,2529
914,birth,grazer,10,2,84,18,,2530
914,birth,grazer,4,2,35,18,,2531
915,birth,grazer,5,7,46,62,,2532
915,birth,grazer,9,19,72,157,,2533
915,birth,grazer,4,7,39,63,,2534
915,birth,grazer,7,16,63,133,,2535
915,birth,grazer,15,24,120,195,,2536
915,birth,grazer,22,12,176,103,,2537
915,birth,grazer,21,10,171,84,,2538
915,birth,grazer,6,5,48,40,,2539
915,birth,grazer,6,13,55,104,,2540
915,birth,grazer,8,21,71,174,,2541
915,birth,grazer,9,28,77,229,,2542
915,birth,grazer,8,17,66,136,,2543
915,birth,grazer,5,8,45,65,,2544
915,birth,grazer,8,20,67,167,,2545
915,birth,grazer,5,18,46,148,,2546
915,birth,grazer,8,9,68,74,,2547
915,birth,grazer,8,16,65,129,,2548
915,birth,grazer,7,7,60,63,,2549
916,birth,grazer,30,15,247,126,,2550
916,birth,grazer,29,15,239,126,,2551
916,birth,grazer,21,10,169,84,,2552
916,birth,grazer,13,27,105,218,,2553
916,birth,grazer,29,18,235,147,,2554
916,birth,grazer,27,18,219,147,,2555
916,death,grazer,12,1,101,15,eaten,378
917,birth,grazer,10,16,84,128,,2556
917,birth,grazer,19,7,159,63,,2557
917,birth,grazer,16,24,135,199,,2558
917,birth,grazer,10,15,85,125,,2559
917,birth,grazer,24,18,195,148,,2560
918,birth,grazer,10,28,80,229,,2561
918,birth,grazer,30,17,241,138,,2562
919,birth,grazer,5,12,46,101,,2563
919,birth,grazer,17,24,143,199,,2564
919,birth,grazer,10,11,80,90,,2565
919,birth,grazer,7,16,58,135,,2566
919,birth,grazer,9,9,72,75,,2567
919,birth,grazer,7,23,61,191,,2568
919,birth,grazer,10,10,81,83,,2569
919,birth,grazer,8,28,71,229,,2570
919,birth,grazer,9,10,78,82,,2571
919,birth,grazer,8,12,71,99,,2572
920,birth,grazer,26,19,213,157,,2573
920,birth,grazer,27,8,219,71,,2574
920,birth,grazer,5,7,47,56,,2575
920,birth,grazer,30,7,244,58,,2576
920,birth,grazer,29,14,238,117,,2577
920,birth,grazer,21,9,173,79,,2578
920,birth,grazer,27,22,217,180,,2579
920,birth,grazer,22,13,182,111,,2580
920,birth,grazer,28,10,227,84,,2581
921,birth,grazer,28,16,231,135,,2582
921,birth,grazer,6,18,55,144,,2583
921,birth,grazer,31,26,251,215,,2584
921,birth,grazer,10,13,87,104,,2585
921,birth,grazer,30,13,242,107,,2586
921,birth,grazer,30,27,244,216,,2587
921,birth,grazer,28,23,225,190,,2588
922,birth,grazer,27,11,221,93,,2589
922,birth,grazer,8,28,71,229,,2590
922,birth,grazer,29,17,235,136,,2591
923,birth,grazer,9,26,76,211,,2592
923,birth,grazer,3,19,25,158,,2593
923,death,grazer,7,23,62,190,eaten,801
924,birth,grazer,8,21,64,168,,2594
924,birth,grazer,25,12,205,102,,2595
924,birth,grazer,11,14,94,113,,2596
924,birth,grazer,28,9,229,73,,2597
924,birth,grazer,11,15,94,122,,2598
925,birth,grazer,17,5,143,46,,2599
925,birth,grazer,31,25,248,203,,2600
925,birth,grazer,16,6,131,49,,2601
925,birth,grazer,7,21,61,175,,2602
925,birth,grazer,15,6,126,50,,2603
926,birth,grazer,5,22,46,176,,2604
926,birth,grazer,6,25,53,202,,2605
926,birth,grazer,16,5,128,40,,2606
926,birth,grazer,10,23,81,186,,2607
926,birth,grazer,25,14,203,112,,2608
926,birth,grazer,6,17,51,139,,2609
926,birth,grazer,14,9,113,79,,2610
926,birth,grazer,15,4,125,34,,2611
926,birth,grazer,10,20,85,160,,2612
926,birth,grazer,14,3,117,26,,2613
926,birth,grazer,6,24,52,193,,2614
926,birth,grazer,8,25,69,201,,2615
926,death,grazer,28,4,227,37,eaten,1164
927,birth,grazer,6,17,50,142,,2616
927,birth,grazer,25,22,201,180,,2617
927,birth,grazer,7,25,59,207,,2618
927,death,grazer,28,4,228,36,eaten,1165
927,death,grazer,28,4,227,37,eaten,2458
928,birth,grazer,25,16,206,135,,2619
928,birth,grazer,9,28,74,229,,2620
928,birth,grazer,11,13,95,110,,2621
928,birth,grazer,27,17,217,140,,2622
928,birth,grazer,29,17,238,138,,2623
928,birth,grazer,28,16,230,133,,2624
928,birth,grazer,27,20,216,162,,2625
928,birth,grazer,28,19,229,157,,2626
929,birth,grazer,9,9,75,75,,2627
929,birth,grazer,28,4,231,34,,2628
930,birth,grazer,30,20,242,162,,2629
930,birth,grazer,7,20,61,162,,2630
930,birth,grazer,24,19,196,155,,2631
930,birth,grazer,15,5,123,42,,2632
930,birth,grazer,31,19,253,155,,2633
931,birth,grazer,14,7,118,60,,2634
931,birth,grazer,26,10,208,80,,2635
931,birth,grazer,11,11,92,95,,2636
931,birth,grazer,12,14,96,112,,2637
932,birth,grazer,13,7,105,59,,2638
932,birth,grazer,12,13,96,108,,2639
932,birth,grazer,10,28,80,229,,2640
932,birth,grazer,13,7,111,63,,2641
933,birth,grazer,17,24,142,199,,2642
933,storm,,0,0,,,,16.0996 5.9897 3.3451
934,birth,grazer,14,23,116,187,,2643
934,birth,grazer,12,20,96,167,,2644
934,birth,grazer,12,21,99,171,,2645
935,birth,grazer,12,8,96,64,,2646
935,birth,grazer,11,7,92,62,,2647
936,birth,grazer,13,21,104,175,,2648
936,birth,grazer,12,20,96,167,,2649
937,birth,grazer,2,14,22,113,,2650
937,birth,grazer,13,22,109,182,,2651
937,birth,grazer,2,13,21,108,,2652
937,birth,grazer,6,9,50,78,,2653
