hunter.handling_ticks,hunter.hunt_cost,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants,pp_lag,pp_corr,pp_undefined,pp_period
100,0.6,3,true,11,10.000000,true,102,0.690909,true,56823,36.882000,false,255,-0.159091,true,0.8810999989509583,0.072526,true,415,22.055556,true,87,1.485714,true,327,31.700000,,,,35,,0,4700,0.3608,,3600
100,0.6,42,true,17,16.000000,true,85,0.763889,true,57089,37.059333,false,255,-0.159091,true,0.8816999793052673,0.071895,true,275,14.277778,true,89,1.542857,true,67,32.500000,,,,39,,0,-7500,0.2819,,3400
100,0.8,1,false,0,-1.000000,true,114,0.664706,false,0,-1.000000,false,255,-0.159091,true,0.8828999996185303,0.070632,true,369,19.500000,true,115,2.285714,false,0,-1.000000,9142,grazers,eaten,1,10448,0,,,grazers eaten,
100,0.8,2,false,0,-1.000000,true,67,0.808571,true,55481,35.987333,false,255,-0.159091,true,0.8819000124931335,0.071684,true,274,14.222222,true,90,1.571429,true,38,18.000000,57919,hunters,starved,38,57919,0,,,hunters starved,
100,0.8,3,false,0,-1.000000,true,82,0.751515,true,57696,37.464000,false,255,-0.159091,true,0.8840000033378601,0.069474,true,429,22.833333,true,122,2.485714,true,49,23.500000,29647,hunters,starved,37,29647,0,,,hunters starved,
100,0.8,42,false,0,-1.000000,true,70,0.805556,true,57150,37.100000,false,255,-0.159091,true,0.8819000124931335,0.071684,true,316,16.555556,true,76,1.171429,true,18,8.000000,22523,hunters,starved,31,22523,0,,,hunters starved,
100,1.0,1,false,0,-1.000000,true,118,0.652941,true,56960,36.973333,false,255,-0.159091,true,0.8828999996185303,0.070632,true,454,24.222222,true,157,3.485714,true,44,21.000000,31345,hunters,old_age,32,31345,0,,,hunters old_age,
100,1.0,2,false,0,-1.000000,true,72,0.794286,true,53372,34.581333,false,255,-0.159091,true,0.8809000253677368,0.072737,true,269,13.944444,true,91,1.600000,true,45,21.500000,41484,hunters,starved,32,41484,0,,,hunters starved,
100,1.0,3,false,0,-1.000000,true,71,0.784848,true,55846,36.230667,false,255,-0.159091,true,0.8805999755859375,0.073053,true,375,19.833333,true,126,2.600000,true,28,13.000000,25585,hunters,starved,31,25585,0,,,hunters starved,
100,1.0,42,false,0,-1.000000,true,61,0.830556,true,56648,36.765333,false,255,-0.159091,true,0.8791999816894531,0.074526,true,255,13.166667,true,54,0.542857,true,16,7.000000,14850,hunters,starved,31,14850,0,,,hunters starved,
100,1.2,1,false,0,-1.000000,true,114,0.664706,true,55154,35.769333,false,255,-0.159091,true,0.8819000124931335,0.071684,true,411,21.833333,true,114,2.257143,true,51,24.500000,21304,hunters,starved,32,21304,0,,,hunters starved,
100,1.2,2,false,0,-1.000000,true,571,0.830564,true,57779,37.519333,false,255,-0.159091,true,0.8831999897956848,0.070316,true,299,15.611111,true,99,1.828571,true,10,4.000000,16808,hunters,starved,36,16808,0,,,hunters starved,
100,1.2,3,false,0,-1.000000,true,554,0.821290,true,56975,36.983333,false,255,-0.159091,true,0.8826000094413757,0.070947,true,276,14.333333,true,103,1.942857,true,19,8.500000,14390,hunters,starved,29,14390,0,,,hunters starved,
100,1.2,42,false,0,-1.000000,true,64,0.822222,true,54239,35.159333,false,255,-0.159091,true,0.8812000155448914,0.072421,true,325,17.055556,true,69,0.971429,true,19,8.500000,16310,hunters,starved,35,16310,0,,,hunters starved,
150,0.6,1,false,0,-1.000000,true,174,0.488235,true,6868,3.578667,false,255,-0.159091,true,0.8849999904632568,0.068421,true,362,19.111111,true,106,2.028571,true,339,32.900000,13129,grazers,eaten,5,14441,0,,,grazers eaten,
150,0.6,2,false,0,-1.000000,true,129,0.631429,true,37632,24.088000,false,255,-0.159091,true,0.8819000124931335,0.071684,true,422,22.444444,true,109,2.114286,true,76,37.000000,42504,grazers,eaten,22,43770,0,,,grazers eaten,
150,0.6,3,false,0,-1.000000,true,137,0.584848,true,16582,10.054667,false,255,-0.159091,true,0.8823000192642212,0.071263,true,295,15.388889,true,97,1.771429,true,311,30.100000,22561,grazers,eaten,8,24000,0,,,grazers eaten,
150,0.6,42,true,27,26.000000,true,82,0.772222,true,56880,36.920000,false,255,-0.159091,true,0.8840000033378601,0.069474,true,272,14.111111,true,50,0.428571,true,66,32.000000,,,,34,,0,-2300,0.2595,,3800
150,0.8,1,true,4,3.000000,true,130,0.617647,true,56277,36.518000,false,255,-0.159091,true,0.8810999989509583,0.072526,true,312,16.333333,true,123,2.514286,true,89,43.500000,,,,38,,0,-3150,0.2102,,4300
150,0.8,2,true,1,0.000000,true,77,0.780000,true,57303,37.202000,false,255,-0.159091,true,0.883400022983551,0.070105,true,379,20.055556,true,116,2.314286,true,39,18.500000,,,,43,,0,4950,0.4041,,2500
150,0.8,3,false,0,-1.000000,true,72,0.781818,true,56998,36.998667,false,255,-0.159091,true,0.8805999755859375,0.073053,true,356,18.777778,true,70,1.000000,true,58,28.000000,34602,hunters,starved,36,34602,0,,,hunters starved,
150,0.8,42,false,0,-1.000000,true,70,0.805556,true,55766,36.177333,false,255,-0.159091,true,0.8791999816894531,0.074526,true,343,18.055556,true,63,0.800000,true,36,17.000000,25663,hunters,starved,37,25663,0,,,hunters starved,
150,1.0,1,false,0,-1.000000,true,107,0.685294,true,57344,37.229333,false,255,-0.159091,true,0.8855000138282776,0.067895,true,338,17.777778,true,121,2.457143,true,60,29.000000,27934,hunters,old_age,32,27934,0,,,hunters old_age,
150,1.0,2,false,0,-1.000000,true,58,0.834286,true,57555,37.370000,false,255,-0.159091,true,0.8830999732017517,0.070421,true,387,20.500000,true,93,1.657143,true,16,7.000000,18255,hunters,starved,37,18255,0,,,hunters starved,
150,1.0,3,false,0,-1.000000,true,78,0.763636,true,54477,35.318000,false,255,-0.159091,true,0.8827999830245972,0.070737,true,414,22.000000,true,110,2.142857,true,56,27.000000,21348,hunters,starved,27,21348,0,,,hunters starved,
150,1.0,42,false,0,-1.000000,true,76,0.788889,true,57052,37.034667,false,255,-0.159091,true,0.8780999779701233,0.075684,true,328,17.222222,true,68,0.942857,true,29,13.500000,22869,hunters,starved,35,22869,0,,,hunters starved,
150,1.2,1,false,0,-1.000000,true,100,0.705882,true,57309,37.206000,false,255,-0.159091,true,0.8813999891281128,0.072211,true,332,17.444444,true,106,2.028571,true,46,22.000000,19516,hunters,old_age,27,19516,0,,,hunters old_age,
150,1.2,2,false,0,-1.000000,true,50,0.857143,true,56325,36.550000,false,255,-0.159091,true,0.8819000124931335,0.071684,true,409,21.722222,true,112,2.200000,true,14,6.000000,17409,hunters,starved,34,17409,0,,,hunters starved,
150,1.2,3,false,0,-1.000000,true,75,0.772727,true,57077,37.051333,false,255,-0.159091,true,0.8845999836921692,0.068842,true,379,20.055556,true,67,0.914286,true,36,17.000000,22612,hunters,old_age,34,22612,0,,,hunters old_age,
150,1.2,42,false,0,-1.000000,true,66,0.816667,true,56775,36.850000,false,255,-0.159091,true,0.882099986076355,0.071474,true,244,12.555556,true,70,1.000000,true,3,0.500000,12448,hunters,starved,30,12448,0,,,hunters starved,
